fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	meanIntensity	sdIntensity	i	isq
Speaker1.txt	-0.741514439	-1.113082178	-1.297174991	-1.124731549	-0.260053598	-0.51676012	-0.147692566	-0.006911303	0.061895923	0.17521334	-0.369361791	-0.591156139	0.363129343	NA	0.061895002	1.328693227	1.651549715	1.798179042	1.257138819	-0.169726517	0.834263139	-0.549190464	1	20.25
Speaker1.txt	-0.975088425	-1.140605776	-0.766549126	-0.92029447	-0.14147849	-0.51689655	-0.253428519	0.292340972	0.061895923	0.023051897	-0.536999517	-0.515528488	0.293815152	NA	0.061895002	1.140517369	1.505034966	2.04462275	1.311149433	0.032386918	0.874320717	-0.409665804	2	12.25
Speaker1.txt	-0.962946633	-1.092196666	-0.633827381	-0.870819903	-0.047664359	-0.51689655	-0.486928747	0.356466459	0.061895923	-0.306283827	-0.896223217	-0.345366273	0.132082041	NA	0.061895002	1.268137387	1.402997909	1.556571686	1.750950141	0.284265791	0.811427104	-0.191407796	3	6.25
Speaker1.txt	-0.611465126	-1.008034343	-1.28137267	-0.770500522	0.222660921	-1.387256083	-0.16972089	0.185465159	0.061895923	0.154689984	-0.393310037	-0.591156139	0.363129343	NA	0.061895002	1.055626004	1.131771201	1.67979354	0.828911814	-0.302296395	0.936514682	-0.404966059	4	2.25
Speaker1.txt	-0.685844918	-0.997647106	-1.076009216	-1.138241728	0.191928872	0.353462982	-0.147692566	0.270965809	0.061895923	-0.076678785	-0.369361791	-0.194110971	0.01655839	NA	0.061895002	1.30152799	1.100375184	1.774628107	0.99576603	-0.360632102	1.066944455	-0.220905282	5	0.25
Speaker1.txt	-1.066777179	-1.190273692	-0.6637656	-1.07568599	0.099995584	-0.226776706	-0.218183201	0.335091297	0.061895923	-0.015108717	-0.465154777	-0.402087012	0.201396232	NA	0.061895002	1.119294527	1.202412241	1.961563651	2.968117892	1.442532547	0.804529324	-0.432558611	6	0.25
Speaker1.txt	-0.826752787	-1.127201778	-1.130816664	-1.070220639	0.255590367	-1.387256083	-0.257834183	0.399216784	0.061895923	-0.250165276	-0.536999517	-0.080669494	-0.075860531	NA	0.061895002	1.227389532	2.134699542	1.700190332	1.512724757	0.124336702	0.864732032	-0.207968366	7	2.25
Speaker1.txt	-0.771305054	-0.939129716	-0.674762165	-1.013073194	-0.24151673	-1.387256083	-0.583853371	0.591593246	0.061895923	-0.505905529	-1.063860943	-0.156297146	-0.00654634	NA	0.061895002	1.415848361	1.175376781	1.610402394	1.315007334	-0.192897986	1.027098591	0.154712848	8	6.25
Speaker1.txt	-0.685872471	-0.892490493	-0.75633807	-0.973884727	-0.081175738	1.223822514	-0.359164471	0.441967109	0.061895923	-0.356630184	-0.704637244	-0.042855669	-0.098965261	NA	0.061895002	1.500173783	1.863472834	1.577809583	1.455820718	-0.147775595	1.054690704	0.025198331	9	12.25
Speaker1.txt	-0.371236083	-0.261586281	0.211189582	1.078666454	-0.802060222	0.063547784	-0.623504353	0.292340972	0.05561772	-0.470470673	-1.111757437	-0.269738622	0.085872581	NA	0.055610058	1.500173783	1.730911871	1.782408327	1.227240087	-0.328138644	1.060938976	0.173293138	10	20.25
Speaker2.txt	-0.09589413	0.047768369	0.296930581	-0.250554962	-0.477331831	1.038870615	-0.271051178	-0.477164876	-0.75427048	-0.446740543	0.732257555	0.278561848	-0.330012563	NA	-0.754271391	-0.569760655	-0.760710972	-0.431169249	0.174997602	0.781998503	1.437094574	-0.055447237	1	20.25
Speaker2.txt	-0.102212547	0.044884919	0.305266531	0.224607858	-0.248161678	0.020044647	-0.279862507	-0.648166176	-0.75427048	-0.604032824	0.708309308	0.56216554	-0.514850405	NA	-0.754271391	-0.309144166	-0.47116992	-0.578783143	0.360176848	0.644189494	1.481612808	0.001737682	2	12.25
Speaker2.txt	-0.195276661	-0.114416945	0.142597501	0.182127225	-0.054809697	-0.658923583	-0.196154878	-0.819167475	-0.75427048	-0.49580419	0.875947035	0.486537889	-0.468640944	NA	-0.754271391	-0.412428659	-0.079591812	-0.450724936	0.600331182	1.052247816	1.468545625	-0.012011761	3	6.25
Speaker2.txt	-0.562271177	-0.624811795	-0.287761082	-0.531448812	-0.125780259	-1.337891812	-0.01992829	-0.477164876	-0.75427048	-0.461010689	1.187274241	0.713420842	-0.607269326	NA	-0.754271391	-0.362625726	-0.397912546	-0.428645935	0.816373636	1.225031389	1.566679168	-0.063966953	4	2.25
Speaker2.txt	-0.796326569	-0.725141088	0.079113558	-0.685053729	0.030098056	-0.319439468	-0.429655106	-0.306163577	-0.75427048	-0.665121875	0.420930348	0.42981715	-0.422431484	NA	-0.754271391	-0.338856144	-0.957808193	-0.529999064	0.593579856	0.94281758	1.45821892	0.140728648	5	0.25
Speaker2.txt	-0.284947008	-0.044323609	0.54902838	-0.133932119	-0.115351549	-0.658923583	-0.244617189	-0.006911303	-0.75427048	-0.742565475	0.780154048	0.940303795	-0.745897707	NA	-0.754271391	-0.259058261	-0.790362766	-0.476588909	0.645661518	0.893200324	1.54081492	0.251213062	6	0.25
Speaker2.txt	-0.467600931	-0.280781486	0.422689701	-0.08441607	-0.147530668	-0.658923583	-0.191749213	-0.306163577	-0.75427048	-0.545990209	0.875947035	0.599979365	-0.537955135	NA	-0.754271391	-0.220291204	-0.365644417	-0.464603165	0.411294035	0.587747143	1.634881738	0.15753478	7	2.25
Speaker2.txt	-0.974864669	-1.13922033	-0.762360091	-1.194858571	-0.500642929	0.699012876	-0.077201931	-0.519915201	-0.75427048	-0.474479141	1.091481254	0.656700104	-0.584164595	NA	-0.754271391	-0.343100712	-0.480763148	-0.785694925	-0.297595265	-0.045825949	1.570887037	-0.0165015	8	6.25
Speaker2.txt	-1.116301627	-1.265328455	-0.786295327	-1.203551348	0.077360837	0.020044647	-0.354758807	-0.177912602	-0.75427048	-0.610125695	0.564619828	0.448724063	-0.445536214	NA	-0.754271391	-0.357815215	-0.790362766	-0.421917096	-0.210792493	0.068180203	1.563478207	0.132050756	9	12.25
Speaker2.txt	-0.819699338	-1.10252013	-1.068983062	-1.109842841	-0.185947966	0.020278162	-0.028739619	-0.562665526	-0.755592207	-0.371060669	1.187274241	0.524351714	-0.491745675	NA	-0.755593118	-0.463646449	-0.661290249	-0.396263399	-0.240691226	0.160646236	1.577633404	-0.178098734	10	20.25
Speaker3.txt	1.064657903	0.856335422	-0.309553416	0.099924531	-0.281755294	-1.365714162	-0.209371872	0.206840322	-0.326361374	-0.314942118	0.109603142	0.127306546	-0.214488912	NA	-0.32636229	-0.190862198	-0.518263947	-0.493831557	0.690027379	0.852005332	0.196010415	0.947609822	1	20.25
Speaker3.txt	1.326031029	1.897322468	0.959520457	2.333630282	-0.45365281	-0.430886273	-0.30189083	0.057214185	-0.326361374	-0.606758582	-0.058034584	0.543258627	-0.491745675	NA	-0.32636229	0.023912954	-1.243860798	-0.338437444	1.366124521	1.282805813	-0.025911724	1.182145831	2	12.25
Speaker3.txt	0.163454657	0.610020045	0.956370782	0.001488623	-0.361550812	-1.365753513	-0.52657973	0.463342271	-0.326361374	-0.799806397	-0.441206531	0.543258627	-0.514850405	NA	-0.32636229	0.077960456	-0.827863565	-0.50476592	1.337190264	1.182296858	0.051008359	1.469088315	3	6.25
Speaker3.txt	1.777914062	1.633605088	-0.131502203	0.218958262	-0.313622602	-1.365753513	-0.293079501	0.527467759	-0.326361374	-0.749780718	-0.034086338	0.864676144	-0.699688246	NA	-0.32636229	-0.047112821	-0.858387471	-0.4006792	0.897389556	0.888160528	-0.008093477	1.309690966	4	2.25
Speaker3.txt	0.601754172	0.744585417	0.286898159	0.85670813	-0.091248783	-0.11926386	-0.204966207	0.441967109	-0.326361374	-0.524504821	0.109603142	0.543258627	-0.491745675	NA	-0.32636229	0.073149946	-0.426692229	-0.417711572	1.300540205	1.151125853	0.038718476	1.168978816	5	0.25
Speaker3.txt	1.162429511	1.075661163	-0.095683707	0.237001709	-0.351096936	-1.365753513	-0.156503895	0.164089997	-0.326361374	-0.55336579	0.205396129	0.675607016	-0.584164595	NA	-0.32636229	0.216050409	-0.709256387	-0.299115794	1.142366266	0.815500626	0.10372827	1.314932501	6	0.25
Speaker3.txt	0.731775614	0.803340118	0.154346524	-0.161499725	-0.071377032	-1.365753513	-0.108041584	0.292340972	-0.326361374	-0.536369886	0.277240869	0.732327755	-0.630374056	NA	-0.32636229	0.221992805	-0.330759953	-0.245705639	1.415312758	1.078725466	0.008796289	1.154940226	7	2.25
Speaker3.txt	1.180456359	1.149275465	-0.002982915	-0.134415141	0.075344492	-1.0541311	-0.08601326	0.142714835	-0.326361374	-0.509913997	0.325137362	0.713420842	-0.607269326	NA	-0.32636229	0.256515293	-0.368260751	-0.351684845	0.979369951	0.607672271	0.154732325	1.254632828	8	6.25
Speaker3.txt	0.306047619	0.689341909	0.792615609	0.7483039	0.041532193	-0.430886273	0.094618992	-0.07103679	-0.326361374	-0.322478037	0.636464568	0.637793191	-0.561059865	NA	-0.32636229	0.326692154	-0.836584681	-0.360726721	1.20023478	0.743413974	0.244588233	1.031457231	9	12.25
Speaker3.txt	0.320446124	0.67447007	0.729270501	0.243083394	-0.695183768	-1.054052397	-0.138881237	-0.006911303	-0.329500476	-0.461812382	0.229344375	0.524351714	-0.491745675	NA	-0.329534352	0.261891746	-0.766815753	-0.214164209	0.808657834	0.433888572	0.130678927	1.204425341	10	20.25
Speaker4.txt	1.849286316	1.379398727	-0.58385923	0.556892646	-0.853121157	2.165441533	0.614487426	-0.690916501	-0.468447023	0.054638625	1.785980407	0.732327755	-0.630374056	NA	-0.468447937	-0.845374618	-0.300236047	-0.887048054	-0.259016255	0.647948665	1.2299551	-0.289807506	1	20.25
Speaker4.txt	1.838885234	1.135176214	-0.915502651	0.023796426	1.058330048	-0.076409714	0.610081761	-0.562665526	-0.468447023	0.028182736	1.785980407	0.77014158	-0.653478786	NA	-0.468447937	-0.656066876	-0.657801803	-0.425912344	0.087230355	0.799723663	1.359328098	-0.211551285	2	12.25
Speaker4.txt	1.757955834	1.627522665	-0.113254698	0.25836601	-0.831803949	0.563976771	0.733440373	-0.690916501	-0.468447023	0.003811251	2.001514627	0.997024533	-0.792107167	NA	-0.468447937	-0.680685371	-0.734547624	-0.783381887	-0.5416075	0.075858312	1.40432215	-0.100776376	3	6.25
Speaker4.txt	1.223280333	1.736619312	0.883173923	0.169296459	-0.897277209	-1.357182684	0.583647773	-0.434414551	-0.468447023	-0.09223164	1.738083914	0.959210708	-0.769002437	NA	-0.468447937	-0.527880915	-0.586288652	-0.256219449	-0.102771266	0.400698149	1.513374647	0.030240744	4	2.25
Speaker4.txt	1.303738259	1.233675566	-0.057238239	-0.060764446	-0.772407834	0.884170014	0.33693055	-0.263413252	-0.468447023	-0.247920534	1.307015474	0.883583057	-0.722792977	NA	-0.468447937	-0.656632818	-0.41622689	-0.561961046	-0.490490312	0.107023558	1.405546605	0.097886829	5	0.25
Speaker4.txt	1.080539818	1.595976012	0.909388599	0.377195119	-0.759278645	-1.357182684	0.398609856	-0.391664226	-0.468447023	-0.128628529	1.402808461	0.732327755	-0.630374056	NA	-0.468447937	-0.576268993	-1.006646443	-0.297433585	-0.106629167	0.459474058	1.346564291	-0.0542708	6	0.25
Speaker4.txt	1.974545604	1.420812093	-0.677131523	-0.039510143	0.457876862	-0.396602956	0.367770203	-0.199287765	-0.468447023	-0.202224	1.354911967	0.826862318	-0.676583516	NA	-0.468447937	-0.720867284	-0.493844822	-0.395001742	-0.220437246	0.518721758	1.270800588	0.024650246	7	2.25
Speaker4.txt	1.696630924	1.280520115	-0.533674044	0.408940461	-0.545891454	1.524556499	0.266439915	-0.306163577	-0.468447023	-0.147388159	1.187274241	0.56216554	-0.514850405	NA	-0.468447937	-0.63852266	-0.647336464	-0.453879079	0.199109483	0.908454235	1.157125758	-0.133378055	8	6.25
Speaker4.txt	1.172258381	1.474717612	0.544640346	0.052508065	-0.810422665	0.884170014	0.182732286	-0.177912602	-0.468447023	-0.235093437	1.019636514	0.599979365	-0.537955135	NA	-0.468447937	-0.600887489	-0.446750796	-0.380702961	0.175962077	0.826942164	1.168901769	-0.067242133	9	12.25
Speaker4.txt	1.300792232	0.999057393	-0.426354745	-0.141356527	-0.312249843	0.88450238	0.526374132	-0.519915201	-0.474890442	-0.096721124	1.642290927	0.883583057	-0.722792977	NA	-0.474840784	-0.334328604	-0.747629298	-0.449883831	0.418045362	0.741177983	1.214629117	-0.156608224	10	20.25
