fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity	i
Speaker1.txt	0.139955288	-0.509888647	-1.111288949	-0.505735327	-0.569684777	-0.103046505	0.984052172	-2.040416341	0.316227766	1.358832221	0.966382763	-1.339317597	1.363573542	NA	0.316227766	0.276987131	0.460638787	0.31038197	-0.348748821	-0.388314228	20.25	-0.91004154	-1.352815209	1
Speaker1.txt	-1.012482911	-0.612433138	0.091566487	-0.198802994	-0.193728407	-0.103208223	0.396558338	-0.148639601	0.316227766	0.747186925	0.378149777	-0.967284931	0.9625225	NA	0.316227766	-0.936428167	0.043231472	1.853732281	-0.256929667	-0.010866184	12.25	-0.542867693	-0.802271171	2
Speaker1.txt	-0.952576134	-0.43207563	0.392428322	-0.124524179	0.103720363	-0.103208223	-0.900823879	0.256741129	0.316227766	-0.5766481	-0.88234948	-0.130211433	0.026736736	NA	0.316227766	-0.113495386	-0.247462908	-1.20268075	0.490740583	0.459519111	6.25	-1.119360097	0.058943221	3
Speaker1.txt	0.78160978	-0.118512601	-1.075467273	0.026090679	0.960818556	-1.134886155	0.861657624	-0.824274151	0.316227766	1.276334226	0.88234948	-1.339317597	1.363573542	NA	0.316227766	-1.483833564	-1.020163354	-0.431005595	-1.076743538	-0.635889265	2.25	0.027211647	-0.783726662	4
Speaker1.txt	0.414624932	-0.079812936	-0.609936731	-0.526018882	0.863378969	0.92846971	0.984052172	-0.283766511	0.316227766	0.346298227	0.966382763	0.613853899	-0.641681667	NA	0.316227766	0.101817404	-1.109607778	0.162894568	-0.793087939	-0.744831544	0.25	1.222750759	-0.057449575	5
Speaker1.txt	-1.464869005	-0.797480578	0.324562521	-0.432100603	0.571893634	0.240684422	0.592389616	0.121614219	0.316227766	0.593792214	0.630249628	-0.409235932	0.427787778	NA	0.316227766	-1.073279516	-0.818913398	1.333575819	2.559950793	2.622589176	0.25	-1.182586198	-0.892602862	6
Speaker1.txt	-0.280604939	-0.562493948	-0.734177635	-0.423895179	1.06522525	-1.134886155	0.372079428	0.526994949	0.316227766	-0.351067643	0.378149777	1.171902898	-1.176416389	NA	0.316227766	-0.376249977	1.837089098	-0.30327097	0.085752531	0.160850585	2.25	-0.63075903	-0.006402383	7
Speaker1.txt	-0.007029582	0.138204928	0.299634831	-0.33809666	-0.510911448	-1.134886155	-1.439359894	1.743137139	0.316227766	-1.379070011	-1.470582466	0.799870232	-0.775365347	NA	0.316227766	0.838990006	-0.895934986	-0.865566689	-0.250371156	-0.431587084	6.25	0.857517512	1.424684995	8
Speaker1.txt	0.414488987	0.311968383	0.114713537	-0.279260916	-0.002531416	1.960147642	-0.190935496	0.797248769	0.316227766	-0.779025995	-0.210083209	1.357919231	-1.31010007	NA	0.316227766	1.382746034	1.064388652	-1.069678718	-0.010985506	-0.34732075	12.25	1.110431017	0.913639528	9
Speaker1.txt	1.966883584	2.662524167	2.30796489	2.802344059	-2.288180724	0.584819642	-1.659670082	-0.148639601	-2.846049894	-1.236632065	-1.638649034	0.241821233	-0.240630625	NA	-2.846049894	1.382746034	0.686734415	0.211618084	-0.399577281	-0.684149818	20.25	1.167703622	1.49800012	10
