fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker1.txt	1	0.186932441	0.133916711	0.716390959	1.192097014	0.009912913	0.705384435	1101	81	340.4	294.56	3.23	3.74	0.268	0	340.4	216.36	94.08	527.53	63.25	0.292336846	20.25	76.24287756	7.322401354
Speaker1.txt	2	0.166438841	0.131659429	0.791037885	1.529146603	0.0117575	0.705301516	1077	95	340.4	285.07	3.16	3.78	0.265	0	340.4	209.71	92.4	539.25	63.81	0.304277335	12.25	76.39548794	7.558869437
Speaker1.txt	3	0.167504152	0.135629586	0.809708799	1.610713911	0.013216897	0.705301516	1024	98	340.4	264.53	3.01	3.87	0.258	0	340.4	214.22	91.23	516.04	68.37	0.319157875	6.25	76.1558774	7.928775753
Speaker1.txt	4	0.198342867	0.142531958	0.718613984	1.776107617	0.01742215	0.176325379	1096	90	340.4	293.28	3.22	3.74	0.268	0	340.4	206.71	88.12	521.9	58.81	0.284504862	2.25	76.63243299	7.566834621
Speaker1.txt	5	0.191816842	0.143383842	0.747503926	1.169823167	0.016944074	1.234277654	1101	94	340.4	278.85	3.23	3.95	0.253	0	340.4	215.4	87.76	526.41	60.54	0.281058496	0.25	77.12934114	7.878783056
Speaker1.txt	6	0.158394141	0.127586033	0.805497176	1.27295703	0.015513935	0.881626895	1085	97	340.4	282.69	3.19	3.84	0.261	0	340.4	208.96	88.93	535.3	80.99	0.387586141	0.25	76.1295984	7.52007043
Speaker1.txt	7	0.179453695	0.132758726	0.739793771	1.281967599	0.017934409	0.176325379	1076	100	340.4	268.03	3.16	4.01	0.249	0	340.4	212.78	99.62	522.87	65.9	0.309709559	2.25	76.35895721	7.900708698
Speaker1.txt	8	0.184318636	0.148183006	0.803950211	1.376184963	0.010201278	0.176325379	1002	109	340.4	252.08	2.94	3.97	0.252	0	340.4	219.44	88.62	518.6	63.85	0.290967918	6.25	76.97753735	8.515385211
Speaker1.txt	9	0.191814425	0.152008011	0.792474347	1.440793873	0.012695585	1.763253791	1053	102	340.4	261.39	3.09	4.03	0.248	0	340.4	222.42	96.51	517.05	65.31	0.293633666	12.25	77.0826571	8.295882439
Speaker1.txt	10	0.219420377	0.203750112	0.928583364	4.824776528	0.001481313	1.058076652	993	95	340.02	254.29	2.92	3.91	0.256	0	340.019592	222.42	94.99	526.78	62.94	0.282978149	20.25	77.10646162	8.546875311
Speaker2.txt	1	0.243578667	0.229121094	0.940645162	2.633327049	0.006532875	1.650846059	1073	59	291	255.77	3.69	4.2	0.238	0	291	149.27	66.42	421.51	52.03	0.348563007	20.25	78.53953	8.159203353
Speaker2.txt	2	0.243024293	0.228884615	0.94181784	3.416714453	0.010097907	1.031636864	1071	51	291	245.96	3.68	4.35	0.23	0	291	158.48	69.74	414.49	53.95	0.340421504	12.25	78.70913448	8.256121047
Speaker2.txt	3	0.23485892	0.215819853	0.918934027	3.346677843	0.013105743	0.618982118	1090	43	291	252.71	3.75	4.31	0.232	0	291	154.83	74.23	420.58	56.44	0.364528838	6.25	78.65935145	8.232818324
Speaker2.txt	4	0.202659106	0.173961039	0.858392415	2.170225361	0.012001706	0.206327373	1130	59	291	254.88	3.88	4.43	0.226	0	291	156.59	70.58	421.63	58.68	0.374736573	2.25	79.03321822	8.144764036
